127.0.0.1 - - [04/Jan/2024:13:47:59 +0000] "GET /help HTTP/1.1" 200 90905 "" "curl/7.59.0-DEV" -
172.21.0.1 - - [04/Jan/2024:13:49:45 +0000] "GET /assets/favicon-7901bd695fb93edb07975966062049829afb56cf11511236e61bcf425070e36e.png HTTP/1.1" 200 1611 "http://127.0.0.1:8888/users/password/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
127.0.0.1 - - [04/Jan/2024:13:50:02 +0000] "GET /help HTTP/1.1" 200 90905 "" "curl/7.59.0-DEV" -
127.0.0.1 - - [04/Jan/2024:13:51:03 +0000] "GET /help HTTP/1.1" 200 90905 "" "curl/7.59.0-DEV" -
127.0.0.1 - - [04/Jan/2024:13:52:04 +0000] "GET /help HTTP/1.1" 200 90890 "" "curl/7.59.0-DEV" -
127.0.0.1 - - [04/Jan/2024:13:53:05 +0000] "GET /help HTTP/1.1" 200 90890 "" "curl/7.59.0-DEV" -
172.21.0.1 - - [04/Jan/2024:13:53:40 +0000] "GET / HTTP/1.1" 302 101 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:53:40 +0000] "GET /users/sign_in HTTP/1.1" 302 149 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:53:41 +0000] "GET /users/password/edit?reset_password_token=Ryd14nC27_fg3-BLcYER HTTP/1.1" 200 4151 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" 2.44
172.21.0.1 - - [04/Jan/2024:13:53:58 +0000] "POST /users/password HTTP/1.1" 302 101 "http://127.0.0.1:8888/users/password/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:53:58 +0000] "GET /users/sign_in HTTP/1.1" 200 5037 "http://127.0.0.1:8888/users/password/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" 2.70
172.21.0.1 - - [04/Jan/2024:13:53:58 +0000] "GET /assets/webpack/commons-pages.admin.sessions-pages.sessions-pages.sessions.new.1e0c0ee2.chunk.js HTTP/1.1" 200 4915 "http://127.0.0.1:8888/users/sign_in" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:53:58 +0000] "GET /assets/webpack/commons-pages.admin.sessions-pages.ldap.omniauth_callbacks-pages.omniauth_callbacks-pages.profiles.t-f04c18ab.8bbc73af.chunk.js HTTP/1.1" 200 9230 "http://127.0.0.1:8888/users/sign_in" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:53:58 +0000] "GET /assets/webpack/pages.sessions.new.444bf31e.chunk.js HTTP/1.1" 200 3889 "http://127.0.0.1:8888/users/sign_in" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
127.0.0.1 - - [04/Jan/2024:13:54:05 +0000] "GET /help HTTP/1.1" 200 90890 "" "curl/7.59.0-DEV" -
172.21.0.1 - - [04/Jan/2024:13:54:10 +0000] "POST /users/sign_in HTTP/1.1" 302 88 "http://127.0.0.1:8888/users/sign_in" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:54:12 +0000] "GET / HTTP/1.1" 200 8836 "http://127.0.0.1:8888/users/sign_in" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" 3.34
172.21.0.1 - - [04/Jan/2024:13:54:12 +0000] "GET /assets/webpack/commons-pages.dashboard.projects.index-pages.root.dd1c1777.chunk.js HTTP/1.1" 200 6519 "http://127.0.0.1:8888/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:54:12 +0000] "GET /assets/webpack/pages.root.44b8fb9d.chunk.js HTTP/1.1" 200 230 "http://127.0.0.1:8888/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:54:12 +0000] "GET /assets/fontawesome-webfont-2adefcbc041e7d18fcf2d417879dc5a09997aa64d675b7a3c4b6ce33da13f3fe.woff2?v=4.7.0 HTTP/1.1" 200 77160 "http://127.0.0.1:8888/assets/application-969119f639d0837f445a10ced20d3a82d2ea69d682a4e74f39a48a4e7b443d5e.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:54:12 +0000] "GET /assets/webpack/368.c28989da.chunk.js HTTP/1.1" 200 4479 "http://127.0.0.1:8888/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:54:12 +0000] "GET /assets/webpack/365.7d662b9c.chunk.js HTTP/1.1" 200 4116 "http://127.0.0.1:8888/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:54:20 +0000] "GET /gitlab-instance-7b246fc2/monitoring HTTP/1.1" 503 2942 "http://127.0.0.1:8888/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:54:20 +0000] "GET /favicon.ico HTTP/1.1" 301 171 "http://127.0.0.1:8888/gitlab-instance-7b246fc2/monitoring" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:54:22 +0000] "GET / HTTP/1.1" 200 8838 "http://127.0.0.1:8888/users/sign_in" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" 3.34
172.21.0.1 - - [04/Jan/2024:13:54:48 +0000] "GET /projects/new HTTP/1.1" 200 18572 "http://127.0.0.1:8888/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" 4.65
172.21.0.1 - - [04/Jan/2024:13:54:48 +0000] "GET /assets/webpack/commons-globalSearch-pages.admin.abuse_reports-pages.admin.groups.show-pages.admin.projects-pages.ad-c7df39f1.5e1642d0.chunk.js HTTP/1.1" 200 5468 "http://127.0.0.1:8888/projects/new" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:54:48 +0000] "GET /assets/webpack/commons-pages.groups.boards-pages.groups.details-pages.groups.show-pages.projects-pages.projects.act-d2086b94.4f394cd6.chunk.js HTTP/1.1" 200 5643 "http://127.0.0.1:8888/projects/new" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:54:48 +0000] "GET /assets/webpack/pages.projects.new.713d2747.chunk.js HTTP/1.1" 200 2658 "http://127.0.0.1:8888/projects/new" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:54:48 +0000] "GET /assets/webpack/commons-pages.projects-pages.projects.activity-pages.projects.alert_management.details-pages.project-f19d33d0.83a89131.chunk.js HTTP/1.1" 200 6259 "http://127.0.0.1:8888/projects/new" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:54:48 +0000] "GET /assets/webpack/vendors-select2.628abc92.chunk.js HTTP/1.1" 200 17977 "http://127.0.0.1:8888/projects/new" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:54:53 +0000] "POST /projects HTTP/1.1" 503 2942 "http://127.0.0.1:8888/projects/new" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:54:53 +0000] "GET /favicon.ico HTTP/1.1" 301 171 "http://127.0.0.1:8888/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:55:03 +0000] "GET /projects/new HTTP/1.1" 200 18568 "http://127.0.0.1:8888/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" 4.65
127.0.0.1 - - [04/Jan/2024:13:55:06 +0000] "GET /help HTTP/1.1" 200 90890 "" "curl/7.59.0-DEV" -
172.21.0.1 - - [04/Jan/2024:13:55:14 +0000] "GET /assets/select2x2-6fe28d687dc0ed4d96016238c608ba1e7198c9c9accfa0b360b78018b9fb9bc2.png HTTP/1.1" 200 845 "http://127.0.0.1:8888/assets/application-969119f639d0837f445a10ced20d3a82d2ea69d682a4e74f39a48a4e7b443d5e.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:55:14 +0000] "GET /assets/select2-spinner-f6ecff617ec2ba7f559e6f535cad9b70a3f91120737535dab4d4548a6c83576c.gif HTTP/1.1" 200 1849 "http://127.0.0.1:8888/assets/application-969119f639d0837f445a10ced20d3a82d2ea69d682a4e74f39a48a4e7b443d5e.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:55:16 +0000] "GET /dashboard/projects HTTP/1.1" 200 8861 "http://127.0.0.1:8888/projects/new" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" 3.36
172.21.0.1 - - [04/Jan/2024:13:55:16 +0000] "GET /assets/webpack/pages.dashboard.projects.index.9327ba98.chunk.js HTTP/1.1" 200 196 "http://127.0.0.1:8888/dashboard/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:55:19 +0000] "GET /admin HTTP/1.1" 200 10280 "http://127.0.0.1:8888/dashboard/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" 4.07
172.21.0.1 - - [04/Jan/2024:13:55:19 +0000] "GET /assets/webpack/commons-pages.admin-pages.admin.abuse_reports-pages.admin.application_settings-pages.admin.applicati-0560d5ec.f90824e0.chunk.js HTTP/1.1" 200 5099 "http://127.0.0.1:8888/admin" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:55:19 +0000] "GET /assets/webpack/pages.admin.efbc43b4.chunk.js HTTP/1.1" 200 2661 "http://127.0.0.1:8888/admin" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:55:19 +0000] "GET /api/v4/application/statistics HTTP/1.1" 200 165 "http://127.0.0.1:8888/admin" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:55:21 +0000] "GET /admin/users HTTP/1.1" 200 10981 "http://127.0.0.1:8888/admin" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" 3.82
172.21.0.1 - - [04/Jan/2024:13:55:21 +0000] "GET /assets/webpack/commons-pages.admin.users-pages.admin.users.new.8ec1764b.chunk.js HTTP/1.1" 200 15429 "http://127.0.0.1:8888/admin/users" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:55:21 +0000] "GET /assets/webpack/pages.admin.users.bce0cc6d.chunk.js HTTP/1.1" 200 195 "http://127.0.0.1:8888/admin/users" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:55:23 +0000] "GET /admin/users/new HTTP/1.1" 200 10524 "http://127.0.0.1:8888/admin/users" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" 3.83
172.21.0.1 - - [04/Jan/2024:13:55:23 +0000] "GET /assets/webpack/pages.admin.users.new.a953177c.chunk.js HTTP/1.1" 200 640 "http://127.0.0.1:8888/admin/users/new" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:55:38 +0000] "POST /admin/users HTTP/1.1" 302 104 "http://127.0.0.1:8888/admin/users/new" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:55:38 +0000] "GET /admin/users/test HTTP/1.1" 200 11297 "http://127.0.0.1:8888/admin/users/new" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" 3.88
172.21.0.1 - - [04/Jan/2024:13:55:40 +0000] "GET /admin/users HTTP/1.1" 200 11341 "http://127.0.0.1:8888/admin/users/test" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" 3.98
127.0.0.1 - - [04/Jan/2024:13:56:06 +0000] "GET /help HTTP/1.1" 200 90890 "" "curl/7.59.0-DEV" -
127.0.0.1 - - [04/Jan/2024:13:57:08 +0000] "GET /help HTTP/1.1" 200 90890 "" "curl/7.59.0-DEV" -
127.0.0.1 - - [04/Jan/2024:13:58:08 +0000] "GET /help HTTP/1.1" 200 90904 "" "curl/7.59.0-DEV" -
127.0.0.1 - - [04/Jan/2024:13:59:09 +0000] "GET /help HTTP/1.1" 200 90890 "" "curl/7.59.0-DEV" -
127.0.0.1 - - [04/Jan/2024:14:00:09 +0000] "GET /help HTTP/1.1" 200 90890 "" "curl/7.59.0-DEV" -
127.0.0.1 - - [04/Jan/2024:14:01:10 +0000] "GET /help HTTP/1.1" 200 90905 "" "curl/7.59.0-DEV" -
127.0.0.1 - - [04/Jan/2024:14:02:10 +0000] "GET /help HTTP/1.1" 200 90890 "" "curl/7.59.0-DEV" -
127.0.0.1 - - [04/Jan/2024:14:03:11 +0000] "GET /help HTTP/1.1" 200 90905 "" "curl/7.59.0-DEV" -
