# Logfile created on 2024-01-04 13:45:06 +0000 by logger.rb/66358
[2024-01-04T13:45:07+00:00] INFO: Started Chef Infra Zero at chefzero://localhost:1 with repository at /opt/gitlab/embedded
  One version per cookbook

[2024-01-04T13:45:08+00:00] INFO: *** Chef Infra Client 15.12.22 ***
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/sidekiq-cluster.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/sidekiq.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/resources/sidekiq_service.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/storage-check.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/remote-syslog_disable.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/selinux.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/unicorn_disable.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/resources/database_objects.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/web-server.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_mattermost.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/sidekiq_disable.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_pages.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/resources/unicorn_config.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_workhorse.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/account_helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/actioncable.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/metadata.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/unicorn.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_exporter.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/resources/puma_config.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_shell.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/resources/unicorn_service.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_rails.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/authorizer_helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/base_helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/geo_pg_helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/base_pg_helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/patroni.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/pg_helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/web_server_helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/incoming_email.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/redis_helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/logrotate_helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/gitlab_rails.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/postgresql.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/puma.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/pg_version.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/redis.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/unicorn.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/storage_check.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/grafana_helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/redis_uri.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/recipes/runit_sysvinit.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/sidekiq.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/sidekiq_cluster.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/nginx.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/logging.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/resources/env_dir.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/templates/default/gitlab-runsvdir.service.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/recipes/runit.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/resources/version_file.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/libraries/registry.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/metadata.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/resources/account.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/resources/gitlab_sysctl.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/files/default/gitlab-runsvdir.conf in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/consul.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/recipes/sysctl.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/recipes/runit_systemd.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/default.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/geo_primary.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/pgbouncer.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/config/gitlab.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/resources/storage_directory.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/redis_sentinel.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/application.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/recipes/runit_upstart.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/deprecations.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/formatters/gitlab.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/monitoring.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/geo_secondary.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/handlers/gitlab.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/output_helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/postgres.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/attributes/default.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/roles_helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/certificate_helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/config_mash.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/redhat_helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/logging_helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/resources/templatesymlink.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/object_proxy.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/secrets_helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/selinux_helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/services_helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/redis_master.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/postgresql/attributes/default.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/gitlab-psql-rc.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/config/services.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/postgresql-runtime.conf.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/postgresql.conf.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/package.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/sv-postgresql-log-run.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/omnibus_helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/settings_helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/storage_directory_helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/pg_ident.conf.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/postgresql/recipes/disable.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/systemd_helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/postgresql/recipes/user.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/shell_out_helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/postgresql/resources/database.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/sv-postgresql-run.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/postgresql/resources/query.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/postgresql/resources/schema.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/postgresql/resources/user.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/pg_hba.conf.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/version_helper.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/redis/templates/default/gitlab-redis-cli-rc.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/postgresql/resources/config.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/sv-postgresql-log-config.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/redis/templates/default/sv-redis-log-run.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/redis/templates/default/sv-redis-run.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/postgresql/recipes/directory_locations.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/redis/recipes/enable.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/postgresql/metadata.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/redis/attributes/attributes.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/postgresql/recipes/enable.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/sv-postgresql-t.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/redis/templates/default/redis.conf.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/postgresql/resources/extension.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/monitoring/templates/postgres-queries.yaml in the cache.
